behavior_id,tool,behavior,legacy_source,rust_source,existing_test_id,missing_test,fixture_requirements,expected_artifacts,risk,current_parity_status
shared.surface,shared,"Six wrapper entry points; aliases; defaults; help; version; failures","8401169:src/python/{hap,som,pre,ftx,qfy}.py;8401169:src/c++/main/vcfcheck.cpp",rust/src/cli.rs::Command,cli_compat,false,none,"stdout;stderr;exit",high,partial
shared.repeated_argparse,shared,"Repeated argparse scalar and same-flag tokens are last-token-wins; Boost vcfcheck rejects repeats",8401169:src/python/*;8401169:src/c++/main/vcfcheck.cpp,rust/src/cli.rs::Cli,unit:repeated_legacy_options_match_each_wrapper_parser,false,none,"exit;parsed options",high,fixed
shared.unknown_args,shared,"hap.py unknown exits 1; pre.py and qfy.py print help and exit 0",8401169:src/python/hap.py:183-193;8401169:src/python/pre.py:386-396;8401169:src/python/qfy.py:356-365,rust/src/main.rs::exit_with_legacy_help,cli:legacy_unknown_arguments_keep_wrapper_specific_exit_codes,false,none,"stdout;stderr;exit",high,fixed
shared.argparse_abbrev,shared,"Python argparse wrappers accept unique long-option prefixes; Boost vcfcheck does not",8401169:src/python/*,rust/src/cli.rs::normalize_legacy_arguments,unit:argparse_wrappers_expand_only_unique_long_option_prefixes,false,none,"parsed options;exit",medium,fixed
shared.reference_discovery,shared,"HG19 then HGREF then bundled hg19 reference",8401169:src/python/Tools/__init__.py:29-46,rust/src/cli.rs::resolve_legacy_reference,unit:reference_candidates_follow_legacy_hg19_then_hgref_precedence,true,"environment paths including directories","exit;runinfo",medium,partial
shared.vcf_versions,shared,"VCF 4.0-4.4 declarations and unusual Number values",VCF-spec;EBI-vcf-validator,rust/src/vcf.rs::load_raw_vcf,vcfcheck.vcf44_number_p,false,external EBI VCF4.4,"result.json",high,covered
shared.compression,shared,"Plain VCF; BGZF VCF; BCF; suffix/content mismatch",8401169:src/python/Tools/bcftools.py,rust/src/vcf.rs;rust/src/bcf.rs,unit:input_format_is_sniffed_independently_of_the_filename_suffix,false,"misnamed compressed and BCF fixtures","tool-specific result tree",high,fixed
shared.index_integrity,shared,"TBI and CSI must answer interval queries and reject stale/corrupt bins",htslib/tabix behavior,rust/src/parity_verifier.rs::compare_index,unit:functional_*_point_query*,false,"wrong-bin and one-base query mutations","*.tbi;*.csi",critical,fixed
shared.artifact_contract,harness,"Exact per-row required artifact set independent of current legacy/Rust union",legacy wrapper artifact writers,rust/src/parity_verifier.rs::compare_outputs,"unit:both_sides_omitting_a_required_artifact_fails;live:expected-artifacts.csv",false,per-row expected manifest,"all declared result*",critical,fixed
shared.text_framing,harness,"Strict UTF-8; CRLF; blank lines; final newline",legacy emitted bytes,rust/src/parity_verifier.rs::read_text,unit:csv_comparison_preserves_line_endings_and_final_newline,false,synthetic byte strings,"CSV;VCF",high,fixed
